Ensembl_ID	PD1-001	PD1-003	PD1-004	PD1-005	PD1-011	PD1-017	PD1-019	PD1-020	PD1-027
ENSG00000000003	43	470	213	121	641	370	186	303	501
ENSG00000000005	1	3	50	0	62	1	62	8	3
ENSG00000000419	196	3726	735	471	1320	994	27	1060	955
ENSG00000000457	167.91	912.7	1593.38	878.84	2782.38	1886.32	237.38	1457.08	1036.09
ENSG00000000460	101.09	1149.3	1076.62	648.16	1813.62	2524.68	158.62	1107.92	1021.91
ENSG00000000938	72	286	601	251	659	574	121	1123	556
ENSG00000000971	144.45	951.2	9115.3	1362.39	22725.01	5713.51	226.52	4273.45	1183
ENSG00000001036	222.08	2814.16	984.36	505.03	1709.42	611.14	100.56	1171.72	814.92
ENSG00000001084	232	1426	3101	709	3579	894	183	2239	1222
ENSG00000001167	237	1469	660	382	1618	1587	32	1100	1123
ENSG00000001460	32.12	498.16	286.03	149.31	386.19	383.24	240.18	187.17	324.17
ENSG00000001461	281.88	1270.84	1175.97	419.69	1384.81	738.76	268.82	1360.83	1341.83
ENSG00000001497	877	2488	1394	1100	2997	2389	421	2488	2130
ENSG00000001561	15	1026	464	566	1242	293	63	556	325
ENSG00000001617	1123	1263	3233	2137	5520	953	193	2775	9924
ENSG00000001626	32	90	3	10	16	166	301.28	785	2
ENSG00000001629	650	3884	2116	1109	4949	2980	229	2166	2052
ENSG00000001630	481.51	2265.09	1141.85	463.81	1748.76	919.64	281.23	1393.33	861.73
ENSG00000001631	148	2392	1537	675	3489	1724	80	2033	1107
ENSG00000002016	166	337	260	279	652	773	98	706	357
ENSG00000002079	0	0	0	0	4	1	3	0	0
ENSG00000002330	326.52	411.92	221.36	183.84	392.16	416.28	133.58	309.55	371.08
ENSG00000002549	1620	2546	8760.99	3218.98	4592.84	3813.99	121.05	2819	1419
ENSG00000002586	292	1672	984	1097	4737	1907	131	1816	515
ENSG00000002587	146	211	244	430	267	1021	261	354	487
ENSG00000002726	3559	44	168	41	82	54	584	1148	32
ENSG00000002745	4	10	14	8	120	34	257	31	5
ENSG00000002746	26	191.93	46	115	264.99	77.97	510.93	98	20
ENSG00000002822	2027.99	2501	1203	862	2452	4518.98	229	1396	3451.49
ENSG00000002834	647	2198	1622	1268	3282	1926	106	1138	2589
ENSG00000002919	111	414	322	272	433	589	134	269	298
ENSG00000002933	489	324	983	279	1223	1274	317	1035	129
ENSG00000003056	1179	2746	2719.96	1719	4570.17	4116	178	4066	2019
ENSG00000003096	10	153	100	19	460	743	303	54	71
ENSG00000003137	18	6150	61	85	193	19	224	65	639
ENSG00000003147	100	934	305	405	1132	1688	97	253	716
ENSG00000003249	23	344	8	7	58	30	153	26	278
ENSG00000003393	186	2188	994	542	2042	1603	218	928	922
ENSG00000003400	69	477	2201	639	3241	721	550	660	188
ENSG00000003402	1205.82	3533.71	9808.81	4023.58	13495.95	7977.76	299.71	4941.51	3244.29
ENSG00000003436	20	987	376	308	1765	1179	49	260	124
ENSG00000003509	121	944.68	682.82	400.51	1517.65	1095.79	115.76	820.14	819
ENSG00000003756	425.03	991.51	2946.5	1761.17	6675.32	1711.99	105.61	1980.35	3308.67
ENSG00000003987	28.36	511.36	84.15	83.06	287.49	384.91	123.07	94.27	587.72
ENSG00000003989	26	208	190	118	1591	3018	122	119	81
ENSG00000004059	1058	2499	1290	1096	2212	2828	155	2376	2165
ENSG00000004139	426.83	1713.81	319.79	765.79	936.23	415.92	437.44	699.28	1087.43
ENSG00000004142	740	2338	804	720	1212	1929	62	1418	1143
ENSG00000004399	1068	8434	4642	2865	11066	3957	532	3686	4911
ENSG00000004455	2142.05	3747.98	4139.22	1912.91	5792.19	4419.07	372.82	3700.75	3564.89
ENSG00000004468	13	52	1075	186	420	214	87	16	13
ENSG00000004478	5304	4709	2002	1782	5911.94	25791.91	224	9760	2857
ENSG00000004487	1422	5739	4634	3676	6918	2397	325	6954	5402
ENSG00000004534	1125.25	1543.49	5366	4002.23	14928.42	3083.94	278	3216	4557.02
ENSG00000004660	1034	1364	1032	714	3334	98	290	2177	898
ENSG00000004700	117.46	777.69	1261.76	580.13	2451.61	1765.48	45.51	1466.21	586.75
ENSG00000004766	52	992	603	249	1100	665	79	710	476
ENSG00000004776	64	24	68	55	652	50	81	43	38
ENSG00000004777	615	635	660	265	987	892	292	676	3456
ENSG00000004779	240	883	421	247	727	427	30	891	456
ENSG00000004799	55	1257	1313	108	4959	241	86	210	495
ENSG00000004809	6	335	116	49	177	1234	245	5	17
ENSG00000004838	14	122	11	16	129.84	55	385.96	21	266
ENSG00000004846	0	6	4	1	52	9	214	6	8
ENSG00000004848	2980	7	2	7	6	5	260	1739	9
ENSG00000004864	236	1309	801	698	1688	1955	130	871	615
ENSG00000004866	96.81	1337.42	744.55	528.15	1614.47	1180.77	75.31	873.72	822.65
ENSG00000004897	234	4163	2240	1096.99	4406.53	2286.9	86.61	2166	1162
ENSG00000004939	5	1	9	6	2	2	100	5	4
ENSG00000004948	1	41	6	0	23	4	59	16	2
ENSG00000004961	139	669	261	106	409	272	39	354	270
ENSG00000004975	735	2531	1547	676	2721	1655	433	1546	3361
ENSG00000005001	130	93	6	18	59	133	50	34	215
ENSG00000005007	5358	12047	5905	4494	11067	14356	480	12319	14610
ENSG00000005020	84	217	702	772	1240	566	83	539	4700
ENSG00000005022	2644.88	3857.99	2610.98	2357.97	5188.74	6405.64	236.17	11012.93	3886.84
ENSG00000005059	26	109	347	91	600	198	59	211	426
ENSG00000005073	0	0	0	19.19	4.56	0	152.12	2.07	1203.19
ENSG00000005075	422.23	1249.64	401.89	468.56	779.22	1674.6	321.86	917.82	1071.66
ENSG00000005100	469	1070	1108	533	1733	1570	330	1525	2094
ENSG00000005102	990	42	443	36	1022	50	95	2514	8
ENSG00000005108	49	480.66	360.61	255	1745.47	234	507.94	211.83	142
ENSG00000005156	1283	5202	2134	1828	3690	5334	542	2592	3805
ENSG00000005175	102	842	823	450	1813	685	54	1279	538
ENSG00000005187	49.51	450.44	208.05	244.72	458.28	455.81	52.39	566.38	63.96
ENSG00000005189	126	603	197	153	373	636	101	332	380
ENSG00000005194	272.7	813.88	338	244.77	568.49	619.95	62.84	471	981.27
ENSG00000005206	1797.63	2286.25	1010.99	785.52	1557.63	2478.29	166.81	2967.91	3770.65
ENSG00000005238	161	386	495	356	1145	410	348	366	530
ENSG00000005243	33	247	122	94	763	38	32	153	51
ENSG00000005249	119	109	254	103	1008	415	63	227	115
ENSG00000005302	289	1706.96	2057	947	4079.99	1455	623	1568	958
ENSG00000005339	6147	16793	14007	10324	32690	20667	1049	18005	19496
ENSG00000005379	1555.93	805.99	437	327	1066.88	3037.87	398.66	328.95	4652.98
ENSG00000005381	4	42	25	7	27	42	251	7	6
ENSG00000005421	0	11	0	3	8	141	29	8	5
ENSG00000005436	123.72	967.45	636.22	304.27	1089.09	423.2	180.35	638.66	313
ENSG00000005448	168	753	332	339	851	1071	247	276	1154
ENSG00000005469	252	596	403	161	697	982	121	510	183
ENSG00000005471	20.43	221.71	154.35	83	677.56	529.44	261.5	117.79	65.31
ENSG00000005483	1664.94	9077.8	7993.93	5334.95	20143.22	9560.92	766.73	13288.85	5837.97
ENSG00000005486	2158	1636	727	875	1349	1070	273	1376	1295
ENSG00000005513	28	215	1816	1048	1097	29	164	24	18
ENSG00000005700	338	3965	2578	1036	4254	2325	157	2926	1012
ENSG00000005801	530	1305	3464	1546	4195	3787	378	3873	2639
ENSG00000005810	1319.58	13257.86	27909.65	8484.51	44350.15	15890.05	930.07	21305.91	10698.67
ENSG00000005812	121	1896.57	2251.95	621.88	4273.04	1071.99	168.94	2076.11	1017.9
ENSG00000005844	117.94	586.29	2219.89	493.12	2275.87	1427.73	161.82	312.6	50
ENSG00000005882	208	1075	467	252	726	752	155	288	701
ENSG00000005884	1832	2753	1429	1350	2058	1418	448	2063	6380
ENSG00000005889	939.94	6693	5944	1677.02	7833.15	4726.87	575	6696.45	4329
ENSG00000005893	383	6610	5799	2039	7355	5540	314	5525	1942
ENSG00000005961	40	461	17	54	73	81	260	34	422
ENSG00000005981	0	13	0	0	6	13	349	3	12
ENSG00000006007	367	1064	616	450	1224	859	79	1073	765
ENSG00000006015	814	1503	673	585	1328	1325	298	1367	1396
ENSG00000006016	8.4	74.83	84.88	101.21	626.36	142.69	112.67	162.3	6390.32
ENSG00000006025	313	539	266	174	766	516	150	523	677
ENSG00000006042	133.97	676.96	182	145	960.92	99	96.03	177	1542.99
ENSG00000006047	32	861	14	13	84	101	339	96	475
ENSG00000006059	2380.48	5	7	99.77	8	1	230.08	379.45	5593.12
ENSG00000006062	4530.7	2351.02	6503.34	7334.3	10907.29	2395.32	599.08	4155.76	2233.11
ENSG00000006071	23	126	5	22	55	1	686	56	109
ENSG00000006116	0	0	0	0	0	0	117	0	0
ENSG00000006118	6130	938	4091	4009	5870	2459	713	7445	7097
ENSG00000006125	1475	12718.99	4555	3560.99	9105.86	9464.98	139.41	4425.99	7577
ENSG00000006128	1	0	1	0	2	0	43	2	0
ENSG00000006194	1995.89	3100.42	2516.62	1839.12	5825.29	3793.86	805.71	4024.21	3178.21
ENSG00000006210	148	231	189	69	278	695	276	111	206
ENSG00000006282	1635	2983	1665	864	3136	3740	419	3832	2525
ENSG00000006283	92	189	38	102	240	13	513	33	35
ENSG00000006327	130	348	66	87	188	140	79	229	440
ENSG00000006377	2	1	491	666	468	106	147	6	1932
ENSG00000006432	205	1978	449	299	883	847	749	742	3311
ENSG00000006451	62	369	261	200	670	212	11	351	233
